Age,Gender,Education Level,Occupation,Monthly Income,BNPLU 1,BNPLU 2,BNPLU 3,BNPLU 4,BNPLU 5,BNPLU 6,TRUST 1,TRUST 2,TRUST 3,TRUST 4,TRUST 5,TRUST 6,CONV. 1,CONV. 2,CONV. 3,CONV. 4,CONV. 5,CONV. 6,CONV. 7,CONV. 8,CONV. 9,MATERIALISM 1,MATERIALISM 2,MATERIALISM 3,MATERIALISM 4,MATERIALISM 5,MATERIALISM 6,MATERIALISM 7,MATERIALISM 8,MATERIALISM 9,FIN. LIT 1,FIN. LIT 2,FIN. LIT 3,IMPULSE 1,IMPULSE 2,IMPULSE 3,IMPULSE 4,IMPULSE 5,IMPULSE 6
22,Male,Undergraduate,Student,25000,4,4,4,3,5,3,4,3,1,3,2,3,4,4,4,4,5,4,4,4,4,4,4,5,1,4,4,5,4,5,1,1,1,4,3,4,4,3,4
25,Female,Postgraduate,Student,Nil,2,3,2,2,2,2,3,3,4,3,3,4,2,3,1,4,4,3,3,2,3,4,3,2,4,4,5,4,3,4,4,3,3,1,1,1,1,4,1
27,Female,Undergraduate,Salaried Employee,30000,5,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,4,5,4,5,5,5,5,5,1,5,5,5,5,5,4,4,4,5,5,5,5,1,5
25,Female,Professional Degree,Student,20000,4,4,2,4,2,3,4,3,4,4,4,4,1,2,1,1,2,3,2,2,1,4,3,4,2,4,4,3,4,4,4,5,3,3,2,1,3,2,4
22,Female,Postgraduate,Salaried Employee,35000,3,3,3,3,4,4,3,2,3,3,4,3,4,4,4,4,4,4,5,4,4,4,2,4,3,3,3,3,4,4,2,4,4,2,3,4,5,4,4
22,Female,Professional Degree,Student,Nil,3,3,3,4,3,3,4,4,5,4,4,4,4,3,3,4,4,3,4,5,2,4,4,4,2,3,4,4,4,5,4,5,4,5,4,5,5,2,3
22,Female,Undergraduate,Student,15000,5,5,5,5,5,5,5,4,4,2,4,5,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,5,5,4,5,5,4,4,1,5
22,Female,Postgraduate,Student,Nil,5,5,5,4,5,5,4,4,5,4,4,4,3,3,4,2,2,4,3,2,3,3,3,3,3,2,2,3,2,3,4,5,4,4,4,4,4,3,3
25,Male,Postgraduate,Student,40000,4,5,5,5,5,5,4,5,4,5,4,5,4,4,5,4,3,2,4,5,3,4,4,4,2,4,5,5,4,4,4,3,4,3,2,3,3,1,4
24,Male,Postgraduate,Salaried Employee,25000,4,4,4,4,5,3,5,5,4,5,4,5,4,5,4,4,4,4,4,4,3,4,4,4,1,4,4,5,4,4,4,3,4,5,5,5,5,1,5
